xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	group
-0.5	0.5	1	iteration	0	iteration	0	10
0.5	1.5	1 0	iteration	1	iteration	0	11
1.5	2.5	2 0	iteration	2	iteration	0	20
2.5	3.5	3 0	iteration	3	iteration	0	29
3.5	4.5	4 0	iteration	4	iteration	0	38
4.5	5.5	5 0	iteration	5	iteration	0	47
5.5	6.5	6 0	iteration	6	iteration	0	56
6.5	7.5	7 0	iteration	7	iteration	0	65
7.5	8.5	8 0	iteration	8	iteration	0	74
8.5	9.5	9 0	iteration	9	iteration	0	83
-0.5	0.5	0 1	iteration	0	iteration	1	1
0.5	1.5	1	iteration	1	iteration	1	10
1.5	2.5	2 1	iteration	2	iteration	1	21
2.5	3.5	3 1	iteration	3	iteration	1	30
3.5	4.5	4 1	iteration	4	iteration	1	39
4.5	5.5	5 1	iteration	5	iteration	1	48
5.5	6.5	6 1	iteration	6	iteration	1	57
6.5	7.5	7 1	iteration	7	iteration	1	66
7.5	8.5	8 1	iteration	8	iteration	1	75
8.5	9.5	9 1	iteration	9	iteration	1	84
-0.5	0.5	0 2	iteration	0	iteration	2	2
0.5	1.5	1 2	iteration	1	iteration	2	12
1.5	2.5	1	iteration	2	iteration	2	10
2.5	3.5	3 2	iteration	3	iteration	2	31
3.5	4.5	4 2	iteration	4	iteration	2	40
4.5	5.5	5 2	iteration	5	iteration	2	49
5.5	6.5	6 2	iteration	6	iteration	2	58
6.5	7.5	7 2	iteration	7	iteration	2	67
7.5	8.5	8 2	iteration	8	iteration	2	76
8.5	9.5	9 2	iteration	9	iteration	2	85
-0.5	0.5	0 3	iteration	0	iteration	3	3
0.5	1.5	1 3	iteration	1	iteration	3	13
1.5	2.5	2 3	iteration	2	iteration	3	22
2.5	3.5	1	iteration	3	iteration	3	10
3.5	4.5	4 3	iteration	4	iteration	3	41
4.5	5.5	5 3	iteration	5	iteration	3	50
5.5	6.5	6 3	iteration	6	iteration	3	59
6.5	7.5	7 3	iteration	7	iteration	3	68
7.5	8.5	8 3	iteration	8	iteration	3	77
8.5	9.5	9 3	iteration	9	iteration	3	86
-0.5	0.5	0 4	iteration	0	iteration	4	4
0.5	1.5	1 4	iteration	1	iteration	4	14
1.5	2.5	2 4	iteration	2	iteration	4	23
2.5	3.5	3 4	iteration	3	iteration	4	32
3.5	4.5	1	iteration	4	iteration	4	10
4.5	5.5	5 4	iteration	5	iteration	4	51
5.5	6.5	6 4	iteration	6	iteration	4	60
6.5	7.5	7 4	iteration	7	iteration	4	69
7.5	8.5	8 4	iteration	8	iteration	4	78
8.5	9.5	9 4	iteration	9	iteration	4	87
-0.5	0.5	0 5	iteration	0	iteration	5	5
0.5	1.5	1 5	iteration	1	iteration	5	15
1.5	2.5	2 5	iteration	2	iteration	5	24
2.5	3.5	3 5	iteration	3	iteration	5	33
3.5	4.5	4 5	iteration	4	iteration	5	42
4.5	5.5	1	iteration	5	iteration	5	10
5.5	6.5	6 5	iteration	6	iteration	5	61
6.5	7.5	7 5	iteration	7	iteration	5	70
7.5	8.5	8 5	iteration	8	iteration	5	79
8.5	9.5	9 5	iteration	9	iteration	5	88
-0.5	0.5	0 6	iteration	0	iteration	6	6
0.5	1.5	1 6	iteration	1	iteration	6	16
1.5	2.5	2 6	iteration	2	iteration	6	25
2.5	3.5	3 6	iteration	3	iteration	6	34
3.5	4.5	4 6	iteration	4	iteration	6	43
4.5	5.5	5 6	iteration	5	iteration	6	52
5.5	6.5	1	iteration	6	iteration	6	10
6.5	7.5	7 6	iteration	7	iteration	6	71
7.5	8.5	8 6	iteration	8	iteration	6	80
8.5	9.5	9 6	iteration	9	iteration	6	89
-0.5	0.5	0 7	iteration	0	iteration	7	7
0.5	1.5	1 7	iteration	1	iteration	7	17
1.5	2.5	2 7	iteration	2	iteration	7	26
2.5	3.5	3 7	iteration	3	iteration	7	35
3.5	4.5	4 7	iteration	4	iteration	7	44
4.5	5.5	5 7	iteration	5	iteration	7	53
5.5	6.5	6 7	iteration	6	iteration	7	62
6.5	7.5	1	iteration	7	iteration	7	10
7.5	8.5	8 7	iteration	8	iteration	7	81
8.5	9.5	9 7	iteration	9	iteration	7	90
-0.5	0.5	0 8	iteration	0	iteration	8	8
0.5	1.5	1 8	iteration	1	iteration	8	18
1.5	2.5	2 8	iteration	2	iteration	8	27
2.5	3.5	3 8	iteration	3	iteration	8	36
3.5	4.5	4 8	iteration	4	iteration	8	45
4.5	5.5	5 8	iteration	5	iteration	8	54
5.5	6.5	6 8	iteration	6	iteration	8	63
6.5	7.5	7 8	iteration	7	iteration	8	72
7.5	8.5	1	iteration	8	iteration	8	10
8.5	9.5	9 8	iteration	9	iteration	8	91
-0.5	0.5	0 9	iteration	0	iteration	9	9
0.5	1.5	1 9	iteration	1	iteration	9	19
1.5	2.5	2 9	iteration	2	iteration	9	28
2.5	3.5	3 9	iteration	3	iteration	9	37
3.5	4.5	4 9	iteration	4	iteration	9	46
4.5	5.5	5 9	iteration	5	iteration	9	55
5.5	6.5	6 9	iteration	6	iteration	9	64
6.5	7.5	7 9	iteration	7	iteration	9	73
7.5	8.5	8 9	iteration	8	iteration	9	82
8.5	9.5	1	iteration	9	iteration	9	10
